Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"EverydayWhimtastic:Handmade orange vacuum stress relief balls for stress relief,Soft fidget toys,Sensory toys for adults,Anti-stress gel balls
Desk Stress Ball, Mochies, Stim Toy Squishy, Squishy Figet Toys, Squeeze Silicone Toy, Baby Gifts, Gifts for Boys, Gifts for Girls, Gift, Stress relief toys, Squeeze Stressball, Stress relief ball, Sensory toys",28,80,2.9,1,$30.00,$30,9
"FocusedColoring:12 Pack Stress Relief Coloring Pages, Contemporary digital print, Filigree detailed Mandala instant download set, Coloring pages for adults
Adult coloring pages, adult coloring books, meditation, anxiety, printable, digital download, mandala coloring, occupational therapy, gift, therapy, teacher, stress relief, ADHD",557,201,0.4,6,$5.00,$30,0
"RinconGitano:Stress Relief aromatherapy blend roll on  (Alivia Estrés)
stress relief, headache relief, migraine relief, eassential oil, aromatherapy, alivia estrés, Mariselherbal",2016,119,0.1,2,$14.99,$30,6
"aprillajoye:Rabbit Taba Squishy Toy,Adorable Desk Accessory, Super Soft and Squeezable,Stress Relief Toy
Handmade Toy Gift, Gifts for Boys, Gifts for Girls, Gifts for Kids, Stress Relief Toy, Cute Keychain Bag, Squishies in Bag, Cute Healing Gift, Slime Variant, Squeeze Silicone Toy, Handmade Squishies",24,105,4.4,1,$29.00,$29,11
"TheProductiveNerd:Adult Coloring Pages Flowers | Stress Relief Coloring Pages Printable | Abstract Coloring Pages | Nature Coloring
coloring book, printable coloring, adult coloring book, coloring pages, adult coloring pages, nature coloring, flower coloring, flowers coloring, stress coloring, stress relief, mindfulness coloring, digital coloring, abstract coloring",740,133,0.2,6,$3.95,$24,5
"UpstateDesignDecor:Flexi Pets-keychains-Stress Relief – Wiggly 3D Printed Pocket Friends | Surprise Pack or Pick Your Own | Keychains Available– fidgi pets
Stress Relief, Keyhain, easter gift, Flexi Pet, st patricks day, Manatee, 3d Print, fidget keychain, fidget toy, surprise gift, pocket pet, animal gift, articulated",42,145,3.5,4,$5.00,$20,2
"Pom3Dstudio:Pencil, Pen, and Brush 3D printed clickers - mechanical, fidget, clicky, stress relief
adhd sensory stress, fidget toy, stocking stuffer, Fidget Clicker, Stress Relief, Anxiety Aid, Relaxation Tool, Pawpular Prints, Clickify 3D, art artistic create, creativity painting, calligraphy pen, writing block",35,141,4,4,$5.00,$20,14
"WantSomeQuack:Yellow rubber ducks keychain duck for ducking 4x4 adventure cruise gift anti anxiety novelty gift kids party favors stress relief gifts
rubber ducks, last minute gifts, anti anxiety, adventure, 4x4, ducks for ducking, cute duck, stress relief gifts, christmas stocking, kids bath toys, novelty gift, kids party favors, cruise gift",150,60,0.4,3,$3.99,$12,4
"DannasArtDrawer:50 Coloring Pages of high heels | PNG l PDF | Printable | Digital | Adult Coloring Pages | Therapeutic Art I Stress Relief I Printable
Adult Coloring Pages, Therapeutic Art, Stress Relief Pages, Printable pages, PNG file format, Adult Coloring Book, Relaxing Patterns, Adult Coloring PDF, High heels Coloring, Tenagers Coloring, Coloring Pages, Shoes coloring pages, Coloring pages print",152,83,0.5,4,$2.84,$11,7
"EandGDesign001:Bold And Easy Coloring Pages, Bold and Easy Coloring Book, Stress Relief Coloring Sheets, Simple and Relaxing Coloring Book
Adult Coloring Book, Adult Coloring Page, Kids Coloring Book, Printable Coloring, Relaxing Coloring, Cute Coloring Pages, Simple Coloring Page, Kawaii Coloring Page, Kids Coloring Pages, Aesthetic Coloring, Cozy Coloring Book, Bold and Easy color, Stress Relief color",245,63,0.3,3,$2.50,$8,4
